課文/單字	族語	中文	音檔路徑
課文	ini, ini ka situ timadju.	不，他不是學生。	https://web.klokah.tw/ninew/sound/11/01/02-B-4.mp3
單字	ini	不是	https://web.klokah.tw/ninew/sound/11/01/02-C-4-1.mp3
單字	ini	不是	https://web.klokah.tw/ninew/sound/11/01/02-C-4-2.mp3
單字	ka	[虛]	https://web.klokah.tw/ninew/sound/11/01/02-C-4-3.mp3
單字	situ	學生	https://web.klokah.tw/ninew/sound/11/01/02-C-4-4.mp3
單字	timadju	他	https://web.klokah.tw/ninew/sound/11/01/02-C-4-5.mp3
課文	saka anema timadju?	那麼，他是做什麼的？	https://web.klokah.tw/ninew/sound/11/01/02-B-5.mp3
單字	saka	那麼	https://web.klokah.tw/ninew/sound/11/01/02-C-5-1.mp3
單字	anema	什麼	https://web.klokah.tw/ninew/sound/11/01/02-C-5-2.mp3
單字	timadju	他	https://web.klokah.tw/ninew/sound/11/01/02-C-5-3.mp3
課文	sinsi timadju.	他是老師。	https://web.klokah.tw/ninew/sound/11/01/02-B-6.mp3
單字	sinsi	老師	https://web.klokah.tw/ninew/sound/11/01/02-C-6-1.mp3
單字	timadju	他	https://web.klokah.tw/ninew/sound/11/01/02-C-6-2.mp3
課文	gacalju!	請起立！	https://web.klokah.tw/ninew/sound/11/01/03-B-1.mp3
單字	gacalju	請起立	https://web.klokah.tw/ninew/sound/11/01/03-C-1-1.mp3
課文	kiljavaranu!	請說吧！	https://web.klokah.tw/ninew/sound/11/01/03-B-2.mp3
單字	kiljavaranu	請說吧	https://web.klokah.tw/ninew/sound/11/01/03-C-2-1.mp3
課文	kilangedau!	請聽吧！	https://web.klokah.tw/ninew/sound/11/01/03-B-3.mp3
單字	kilangedau	請聽吧	https://web.klokah.tw/ninew/sound/11/01/03-C-3-1.mp3
課文	qiladju!	請坐下！	https://web.klokah.tw/ninew/sound/11/01/03-B-4.mp3
單字	qiladju	請坐下	https://web.klokah.tw/ninew/sound/11/01/03-C-4-1.mp3
課文	kiqenetju!	請看！	https://web.klokah.tw/ninew/sound/11/01/03-B-5.mp3
單字	kiqenetju	請看	https://web.klokah.tw/ninew/sound/11/01/03-C-5-1.mp3
課文	ti imasun?	你是誰？	https://web.klokah.tw/ninew/sound/11/01/04-B-1.mp3
單字	ti	[虛]	https://web.klokah.tw/ninew/sound/11/01/04-C-1-1.mp3
單字	imasun	你是誰	https://web.klokah.tw/ninew/sound/11/01/04-C-1-2.mp3
課文	ti Kuliw aken.	我是Kuliw。	https://web.klokah.tw/ninew/sound/11/01/04-B-2.mp3
單字	ti	[虛]	https://web.klokah.tw/ninew/sound/11/01/04-C-2-1.mp3
單字	Kuliw aken	我是kuliw	https://web.klokah.tw/ninew/sound/11/01/04-C-2-2.mp3
課文	ti Ljaljuy a ngadan nimadju?	她的名字叫Ljaljuy嗎？	https://web.klokah.tw/ninew/sound/11/01/04-B-3.mp3
單字	ti	[虛]	https://web.klokah.tw/ninew/sound/11/01/04-C-3-1.mp3
單字	Ljaljuy	（女子名）	https://web.klokah.tw/ninew/sound/11/01/04-C-3-2.mp3
單字	a	[虛]	https://web.klokah.tw/ninew/sound/11/01/04-C-3-3.mp3
單字	ngadan	名字	https://web.klokah.tw/ninew/sound/11/01/04-C-3-4.mp3
單字	nimadju	她（的）	https://web.klokah.tw/ninew/sound/11/01/04-C-3-5.mp3
課文	ini ka ti Ljaljuy timadju, ti Muakay a ngadan.	她不是Ljaljuy，是Muakay。	https://web.klokah.tw/ninew/sound/11/01/04-B-4.mp3
單字	ini	不是	https://web.klokah.tw/ninew/sound/11/01/04-C-4-1.mp3
單字	ka	[虛]	https://web.klokah.tw/ninew/sound/11/01/04-C-4-2.mp3
單字	ti	[虛]	https://web.klokah.tw/ninew/sound/11/01/04-C-4-3.mp3
單字	Ljaljuy	（女子名）	https://web.klokah.tw/ninew/sound/11/01/04-C-4-4.mp3
單字	timadju	她	https://web.klokah.tw/ninew/sound/11/01/04-C-4-5.mp3
單字	ti	[虛]	https://web.klokah.tw/ninew/sound/11/01/04-C-4-6.mp3
單字	Muakay	（女子名）	https://web.klokah.tw/ninew/sound/11/01/04-C-4-7.mp3
單字	a	[虛]	https://web.klokah.tw/ninew/sound/11/01/04-C-4-8.mp3
單字	ngadan	名字	https://web.klokah.tw/ninew/sound/11/01/04-C-4-9.mp3
課文	’uqaljay sun.	你是男生。	https://web.klokah.tw/ninew/sound/11/01/05-B-1.mp3
單字	’uqaljay sun	你是男生	https://web.klokah.tw/ninew/sound/11/01/05-C-1-1.mp3
課文	vavayavayan amen.	我們是女生。	https://web.klokah.tw/ninew/sound/11/01/05-B-2.mp3
單字	vavayavayan amen	我們是女生	https://web.klokah.tw/ninew/sound/11/01/05-C-2-1.mp3
課文	’uqaljay ti Ljavaws?	Ljavaws是男生嗎？	https://web.klokah.tw/ninew/sound/11/01/05-B-3.mp3
單字	’uqaljay	男生	https://web.klokah.tw/ninew/sound/11/01/05-C-3-1.mp3
單字	ti	[虛]	https://web.klokah.tw/ninew/sound/11/01/05-C-3-2.mp3
單字	Ljavaws	（女子名）	https://web.klokah.tw/ninew/sound/11/01/05-C-3-3.mp3
課文	ini, vavayan timadju.	不是，她是女生。	https://web.klokah.tw/ninew/sound/11/01/05-B-4.mp3
單字	ini	不是	https://web.klokah.tw/ninew/sound/11/01/05-C-4-1.mp3
單字	vavayan	女生	https://web.klokah.tw/ninew/sound/11/01/05-C-4-2.mp3
單字	timadju	他	https://web.klokah.tw/ninew/sound/11/01/05-C-4-3.mp3
課文	izua ku vatu.	我有狗。	https://web.klokah.tw/ninew/sound/11/01/06-B-1.mp3
單字	izua	有	https://web.klokah.tw/ninew/sound/11/01/06-C-1-1.mp3
單字	ku vatu	我的狗	https://web.klokah.tw/ninew/sound/11/01/06-C-1-2.mp3
課文	qecengecengel a ku vatu.	我的狗是黑色的。	https://web.klokah.tw/ninew/sound/11/01/06-B-2.mp3
單字	qecengecengel	黑色的	https://web.klokah.tw/ninew/sound/11/01/06-C-2-1.mp3
單字	a	[虛]	https://web.klokah.tw/ninew/sound/11/01/06-C-2-2.mp3
單字	ku vatu	我的狗	https://web.klokah.tw/ninew/sound/11/01/06-C-2-3.mp3
課文	tjengelay aken tua ku vatu.	我喜歡我的狗。	https://web.klokah.tw/ninew/sound/11/01/06-B-3.mp3
單字	tjengelay aken	我喜歡	https://web.klokah.tw/ninew/sound/11/01/06-C-3-1.mp3
單字	tua	[虛]	https://web.klokah.tw/ninew/sound/11/01/06-C-3-2.mp3
單字	ku vatu	我的狗	https://web.klokah.tw/ninew/sound/11/01/06-C-3-3.mp3
課文	tjengelay a ku vatu tjaynuaken uta.	我的狗也喜歡我。	https://web.klokah.tw/ninew/sound/11/01/06-B-4.mp3
單字	tjengelay	喜歡	https://web.klokah.tw/ninew/sound/11/01/06-C-4-1.mp3
單字	a	[虛]	https://web.klokah.tw/ninew/sound/11/01/06-C-4-2.mp3
單字	ku vatu	我的狗	https://web.klokah.tw/ninew/sound/11/01/06-C-4-3.mp3
單字	tjaynuaken	對我	https://web.klokah.tw/ninew/sound/11/01/06-C-4-4.mp3
單字	uta	也	https://web.klokah.tw/ninew/sound/11/01/06-C-4-5.mp3
課文	inuan ti sinsi?	老師在哪裡？	https://web.klokah.tw/ninew/sound/11/01/07-B-1.mp3
單字	inuan	在哪裡	https://web.klokah.tw/ninew/sound/11/01/07-C-1-1.mp3
單字	ti	[虛]	https://web.klokah.tw/ninew/sound/11/01/07-C-1-2.mp3
單字	sinsi	老師	https://web.klokah.tw/ninew/sound/11/01/07-C-1-3.mp3
課文	azua ti sinsi.	老師在那裡。	https://web.klokah.tw/ninew/sound/11/01/07-B-2.mp3
單字	azua	在那裡	https://web.klokah.tw/ninew/sound/11/01/07-C-2-1.mp3
單字	ti	[虛]	https://web.klokah.tw/ninew/sound/11/01/07-C-2-2.mp3
單字	sinsi	老師	https://web.klokah.tw/ninew/sound/11/01/07-C-2-3.mp3
課文	inuan a su inpic?	哪個是你的筆？	https://web.klokah.tw/ninew/sound/11/01/07-B-3.mp3
單字	inuan	哪個	https://web.klokah.tw/ninew/sound/11/01/07-C-3-1.mp3
單字	a	[虛]	https://web.klokah.tw/ninew/sound/11/01/07-C-3-2.mp3
單字	su inpic	你的筆	https://web.klokah.tw/ninew/sound/11/01/07-C-3-3.mp3
課文	aicu a ku inpic.	這是我的筆。	https://web.klokah.tw/ninew/sound/11/01/07-B-4.mp3
單字	aicu	這是	https://web.klokah.tw/ninew/sound/11/01/07-C-4-1.mp3
單字	a	[虛]	https://web.klokah.tw/ninew/sound/11/01/07-C-4-2.mp3
單字	ku inpic	我的筆	https://web.klokah.tw/ninew/sound/11/01/07-C-4-3.mp3
課文	anema aicu?	這是什麼？	https://web.klokah.tw/ninew/sound/11/01/08-B-1.mp3
單字	anema	什麼	https://web.klokah.tw/ninew/sound/11/01/08-C-1-1.mp3
單字	aicu	這	https://web.klokah.tw/ninew/sound/11/01/08-C-1-2.mp3
課文	cukui aicu.	這是桌子。	https://web.klokah.tw/ninew/sound/11/01/08-B-2.mp3
單字	cukui	桌子	https://web.klokah.tw/ninew/sound/11/01/08-C-2-1.mp3
單字	aicu	這	https://web.klokah.tw/ninew/sound/11/01/08-C-2-2.mp3
課文	sadjelung azua qiladjan?	那張椅子重嗎？	https://web.klokah.tw/ninew/sound/11/01/08-B-3.mp3
單字	sadjelung	重的	https://web.klokah.tw/ninew/sound/11/01/08-C-3-1.mp3
單字	azua	那個	https://web.klokah.tw/ninew/sound/11/01/08-C-3-2.mp3
單字	qiladjan	椅子	https://web.klokah.tw/ninew/sound/11/01/08-C-3-3.mp3
課文	ui, sadjelung aravac.	是的，非常的重。	https://web.klokah.tw/ninew/sound/11/01/08-B-4.mp3
單字	ui	是的	https://web.klokah.tw/ninew/sound/11/01/08-C-4-1.mp3
單字	sadjelung aravac	非常的重	https://web.klokah.tw/ninew/sound/11/01/08-C-4-2.mp3
課文	tima azua caucau?	那位是誰？	https://web.klokah.tw/ninew/sound/11/01/09-B-1.mp3
單字	tima	誰	https://web.klokah.tw/ninew/sound/11/01/09-C-1-1.mp3
單字	azua	那個	https://web.klokah.tw/ninew/sound/11/01/09-C-1-2.mp3
單字	caucau	人	https://web.klokah.tw/ninew/sound/11/01/09-C-1-3.mp3
課文	niaken a kina.	我的媽媽。	https://web.klokah.tw/ninew/sound/11/01/09-B-2.mp3
單字	niaken	我的	https://web.klokah.tw/ninew/sound/11/01/09-C-2-1.mp3
單字	a	[虛]	https://web.klokah.tw/ninew/sound/11/01/09-C-2-2.mp3
單字	kina	媽媽	https://web.klokah.tw/ninew/sound/11/01/09-C-2-3.mp3
課文	anema sengesengan na su kina?	你媽媽在做什麼工作？	https://web.klokah.tw/ninew/sound/11/01/09-B-3.mp3
單字	anema	什麼	https://web.klokah.tw/ninew/sound/11/01/09-C-3-1.mp3
單字	sengesengan	工作	https://web.klokah.tw/ninew/sound/11/01/09-C-3-2.mp3
單字	na	[虛]	https://web.klokah.tw/ninew/sound/11/01/09-C-3-3.mp3
單字	su kina	你的媽媽	https://web.klokah.tw/ninew/sound/11/01/09-C-3-4.mp3
課文	gusi a sengesengan a ku kina.	我媽媽的工作是護士。	https://web.klokah.tw/ninew/sound/11/01/09-B-4.mp3
單字	gusi	護士	https://web.klokah.tw/ninew/sound/11/01/09-C-4-1.mp3
單字	a	[虛]	https://web.klokah.tw/ninew/sound/11/01/09-C-4-2.mp3
單字	sengesengan	工作	https://web.klokah.tw/ninew/sound/11/01/09-C-4-3.mp3
單字	a	[虛]	https://web.klokah.tw/ninew/sound/11/01/09-C-4-4.mp3
單字	ku kina	我的媽媽	https://web.klokah.tw/ninew/sound/11/01/09-C-4-5.mp3
課文	izua sunatj/qadupu i vavav tua cukui?	桌子上面有書嗎？	https://web.klokah.tw/ninew/sound/11/01/10-B-1.mp3
單字	izua	有	https://web.klokah.tw/ninew/sound/11/01/10-C-1-1.mp3
單字	sunatj/qadupu	書	https://web.klokah.tw/ninew/sound/11/01/10-C-1-2.mp3
單字	i	[虛]	https://web.klokah.tw/ninew/sound/11/01/10-C-1-3.mp3
單字	vavav	上面	https://web.klokah.tw/ninew/sound/11/01/10-C-1-4.mp3
單字	tua	[虛]	https://web.klokah.tw/ninew/sound/11/01/10-C-1-5.mp3
單字	cukui	桌子	https://web.klokah.tw/ninew/sound/11/01/10-C-1-6.mp3
課文	izua tjelu a sunatj/qadupu i vavav tua cukui.	有三本書在桌子上。	https://web.klokah.tw/ninew/sound/11/01/10-B-2.mp3
單字	izua	有	https://web.klokah.tw/ninew/sound/11/01/10-C-2-1.mp3
單字	tjelu	三	https://web.klokah.tw/ninew/sound/11/01/10-C-2-2.mp3
單字	a	[虛]	https://web.klokah.tw/ninew/sound/11/01/10-C-2-3.mp3
單字	sunatj/qadupu	書	https://web.klokah.tw/ninew/sound/11/01/10-C-2-4.mp3
單字	i	[虛]	https://web.klokah.tw/ninew/sound/11/01/10-C-2-5.mp3
單字	vavav	上面	https://web.klokah.tw/ninew/sound/11/01/10-C-2-6.mp3
單字	tua	[虛]	https://web.klokah.tw/ninew/sound/11/01/10-C-2-7.mp3
單字	cukui	桌子	https://web.klokah.tw/ninew/sound/11/01/10-C-2-8.mp3
課文	ita qudjidjilj sa drusa a qecengecengel.	一本是紅色的又兩本是黑色的。	https://web.klokah.tw/ninew/sound/11/01/10-B-3.mp3
單字	ita	一	https://web.klokah.tw/ninew/sound/11/01/10-C-3-1.mp3
單字	qudjidjilj	紅色的	https://web.klokah.tw/ninew/sound/11/01/10-C-3-2.mp3
單字	sa	又；同時	https://web.klokah.tw/ninew/sound/11/01/10-C-3-3.mp3
單字	drusa	二	https://web.klokah.tw/ninew/sound/11/01/10-C-3-4.mp3
單字	a	[虛]	https://web.klokah.tw/ninew/sound/11/01/10-C-3-5.mp3
單字	qecengecengel	黑色的	https://web.klokah.tw/ninew/sound/11/01/10-C-3-6.mp3
課文	niima azua qudjidjilj a sunatj/qadupu?	紅色的書是誰的？	https://web.klokah.tw/ninew/sound/11/01/10-B-4.mp3
單字	niima	誰的	https://web.klokah.tw/ninew/sound/11/01/10-C-4-1.mp3
單字	azua	那個	https://web.klokah.tw/ninew/sound/11/01/10-C-4-2.mp3
單字	qudjidjilj	紅色的	https://web.klokah.tw/ninew/sound/11/01/10-C-4-3.mp3
單字	a	[虛]	https://web.klokah.tw/ninew/sound/11/01/10-C-4-4.mp3
單字	sunatj/qadupu	書	https://web.klokah.tw/ninew/sound/11/01/10-C-4-5.mp3
課文	na sinsi azua qudjidjilj a sunatj/qadupu.	那本紅色的書是老師的。	https://web.klokah.tw/ninew/sound/11/01/10-B-5.mp3
單字	na	[虛]	https://web.klokah.tw/ninew/sound/11/01/10-C-5-1.mp3
單字	sinsi	老師	https://web.klokah.tw/ninew/sound/11/01/10-C-5-2.mp3
單字	azua	那	https://web.klokah.tw/ninew/sound/11/01/10-C-5-3.mp3
單字	qudjidjilj	紅色的	https://web.klokah.tw/ninew/sound/11/01/10-C-5-4.mp3
單字	a	[虛]	https://web.klokah.tw/ninew/sound/11/01/10-C-5-5.mp3
單字	sunatj/qadupu	書	https://web.klokah.tw/ninew/sound/11/01/10-C-5-6.mp3
課文	maljelimamen a tacemekeljan.	我們一家有五個人。	https://web.klokah.tw/ninew/sound/11/02/01-B-1.mp3
單字	maljelimamen	我們五個人	https://web.klokah.tw/ninew/sound/11/02/01-C-1-1.mp3
單字	a	[虛]	https://web.klokah.tw/ninew/sound/11/02/01-C-1-2.mp3
單字	tacemekeljan	一家人（血親）	https://web.klokah.tw/ninew/sound/11/02/01-C-1-3.mp3
課文	izua ti vuvu, ti kama, ti kina, katua ti kaka i Muni sa tiaken.	有祖母、爸爸、媽媽和Muni妹妹，還有我。	https://web.klokah.tw/ninew/sound/11/02/01-B-2.mp3
單字	izua	有	https://web.klokah.tw/ninew/sound/11/02/01-C-2-1.mp3
單字	ti	[虛]	https://web.klokah.tw/ninew/sound/11/02/01-C-2-2.mp3
單字	vuvu	祖；孫	https://web.klokah.tw/ninew/sound/11/02/01-C-2-3.mp3
單字	ti	[虛]	https://web.klokah.tw/ninew/sound/11/02/01-C-2-4.mp3
單字	kama	爸爸	https://web.klokah.tw/ninew/sound/11/02/01-C-2-5.mp3
單字	ti	[虛]	https://web.klokah.tw/ninew/sound/11/02/01-C-2-6.mp3
單字	kina	媽媽	https://web.klokah.tw/ninew/sound/11/02/01-C-2-7.mp3
單字	katua	和	https://web.klokah.tw/ninew/sound/11/02/01-C-2-8.mp3
單字	ti	[虛]	https://web.klokah.tw/ninew/sound/11/02/01-C-2-9.mp3
單字	kaka i Muni	Muni妹妹	https://web.klokah.tw/ninew/sound/11/02/01-C-2-10.mp3
單字	sa	又，還有	https://web.klokah.tw/ninew/sound/11/02/01-C-2-11.mp3
單字	tiaken	我	https://web.klokah.tw/ninew/sound/11/02/01-C-2-12.mp3
課文	kitulutulu aken i tua tatakesian nua kakerian.	我在學校讀書。	https://web.klokah.tw/ninew/sound/11/02/01-B-3.mp3
單字	kitulutulu aken	我在讀書；就學	https://web.klokah.tw/ninew/sound/11/02/01-C-3-1.mp3
單字	i	在…	https://web.klokah.tw/ninew/sound/11/02/01-C-3-2.mp3
單字	tua	[虛]	https://web.klokah.tw/ninew/sound/11/02/01-C-3-3.mp3
單字	tatakesian nua kakerian	國民小學	https://web.klokah.tw/ninew/sound/11/02/01-C-3-4.mp3
課文	azua kukaka ti Muni i tua yucing.	我的那個妹妹Muni在幼兒園。	https://web.klokah.tw/ninew/sound/11/02/01-B-4.mp3
單字	azua	那個	https://web.klokah.tw/ninew/sound/11/02/01-C-4-1.mp3
單字	kukaka ti Muni	我的妹妹Muni	https://web.klokah.tw/ninew/sound/11/02/01-C-4-2.mp3
單字	i	在…	https://web.klokah.tw/ninew/sound/11/02/01-C-4-3.mp3
單字	tua	[虛]	https://web.klokah.tw/ninew/sound/11/02/01-C-4-4.mp3
單字	yucing	幼兒園	https://web.klokah.tw/ninew/sound/11/02/01-C-4-5.mp3
課文	medjama sun, kina.	媽，您起得真早啊！	https://web.klokah.tw/ninew/sound/11/02/02-B-1.mp3
單字	medjama sun	早安！您很早起啊！	https://web.klokah.tw/ninew/sound/11/02/02-C-1-1.mp3
單字	kina	媽媽	https://web.klokah.tw/ninew/sound/11/02/02-C-1-2.mp3
課文	ui, Kapi, idu/kelju kenamai anga!	是的，Kapi，來吃早餐了！	https://web.klokah.tw/ninew/sound/11/02/02-B-2.mp3
單字	ui	是的	https://web.klokah.tw/ninew/sound/11/02/02-C-2-1.mp3
單字	Kapi	（男子名）	https://web.klokah.tw/ninew/sound/11/02/02-C-2-2.mp3
單字	idu/kelju	來	https://web.klokah.tw/ninew/sound/11/02/02-C-2-3.mp3
單字	kenamai anga	我們吃早餐了	https://web.klokah.tw/ninew/sound/11/02/02-C-2-4.mp3
課文	mayanan, vaikanan aken a kimurmur.	等一下，我先去刷牙。	https://web.klokah.tw/ninew/sound/11/02/02-B-3.mp3
單字	mayanan	等一下	https://web.klokah.tw/ninew/sound/11/02/02-C-3-1.mp3
單字	vaikanan aken	我先去...	https://web.klokah.tw/ninew/sound/11/02/02-C-3-2.mp3
單字	a	[虛]	https://web.klokah.tw/ninew/sound/11/02/02-C-3-3.mp3
單字	kimurmur	刷牙	https://web.klokah.tw/ninew/sound/11/02/02-C-3-4.mp3
課文	pinaqupu anga uta!	也要洗臉喔！	https://web.klokah.tw/ninew/sound/11/02/02-B-4.mp3
單字	pinaqupu anga	洗臉了	https://web.klokah.tw/ninew/sound/11/02/02-C-4-1.mp3
單字	uta	也	https://web.klokah.tw/ninew/sound/11/02/02-C-4-2.mp3
課文	ui, kemeljang aken.	是的，我知道。	https://web.klokah.tw/ninew/sound/11/02/02-B-5.mp3
單字	ui	是的	https://web.klokah.tw/ninew/sound/11/02/02-C-5-1.mp3
單字	kemeljang aken	我知道	https://web.klokah.tw/ninew/sound/11/02/02-C-5-2.mp3
課文	pida nga a su cavilj?	你幾歲了？	https://web.klokah.tw/ninew/sound/11/02/03-B-1.mp3
單字	pida nga	多少了	https://web.klokah.tw/ninew/sound/11/02/03-C-1-1.mp3
單字	su cavilj	你的年齡	https://web.klokah.tw/ninew/sound/11/02/03-C-1-2.mp3
課文	tapuluq anga a ku cavilj.	我十歲了。	https://web.klokah.tw/ninew/sound/11/02/03-B-2.mp3
單字	tapuluq anga	十歲了	https://web.klokah.tw/ninew/sound/11/02/03-C-2-1.mp3
單字	a	[虛]	https://web.klokah.tw/ninew/sound/11/02/03-C-2-2.mp3
單字	ku cavilj	我的年齡	https://web.klokah.tw/ninew/sound/11/02/03-C-2-3.mp3
課文	mapida a mareka su kaka?	你有幾位兄弟姊妹？	https://web.klokah.tw/ninew/sound/11/02/03-B-3.mp3
單字	mapida	幾位	https://web.klokah.tw/ninew/sound/11/02/03-C-3-1.mp3
單字	a	[虛]	https://web.klokah.tw/ninew/sound/11/02/03-C-3-2.mp3
單字	mareka su kaka	你的兄弟姊妹	https://web.klokah.tw/ninew/sound/11/02/03-C-3-3.mp3
課文	izua ti kaka i Buka katua ku kaka ti Muni.	有Buka哥哥和Muni妹妹。	https://web.klokah.tw/ninew/sound/11/02/03-B-4.mp3
單字	izua	有	https://web.klokah.tw/ninew/sound/11/02/03-C-4-1.mp3
單字	ti	[虛]	https://web.klokah.tw/ninew/sound/11/02/03-C-4-2.mp3
單字	kaka	兄弟姊妹	https://web.klokah.tw/ninew/sound/11/02/03-C-4-3.mp3
單字	i	[虛]	https://web.klokah.tw/ninew/sound/11/02/03-C-4-4.mp3
單字	Buka	（男子名）	https://web.klokah.tw/ninew/sound/11/02/03-C-4-5.mp3
單字	katua	和	https://web.klokah.tw/ninew/sound/11/02/03-C-4-6.mp3
單字	ku	[虛]	https://web.klokah.tw/ninew/sound/11/02/03-C-4-7.mp3
單字	kaka	兄弟姊妹	https://web.klokah.tw/ninew/sound/11/02/03-C-4-8.mp3
單字	ti	[虛]	https://web.klokah.tw/ninew/sound/11/02/03-C-4-9.mp3
單字	Muni	（女子名）	https://web.klokah.tw/ninew/sound/11/02/03-C-4-10.mp3
課文	pida nga cavilj na su kaka a tjaljaljak?	你的妹妹幾歲？	https://web.klokah.tw/ninew/sound/11/02/03-B-5.mp3
單字	pidaanga	多少了	https://web.klokah.tw/ninew/sound/11/02/03-C-5-1.mp3
單字	a	[虛]	https://web.klokah.tw/ninew/sound/11/02/03-C-5-2.mp3
單字	cavilj	年，歲	https://web.klokah.tw/ninew/sound/11/02/03-C-5-3.mp3
單字	na	[虛]	https://web.klokah.tw/ninew/sound/11/02/03-C-5-4.mp3
單字	su kaka	你的兄弟姊妹	https://web.klokah.tw/ninew/sound/11/02/03-C-5-5.mp3
單字	a	[虛]	https://web.klokah.tw/ninew/sound/11/02/03-C-5-6.mp3
單字	tjaljaljak	年紀比較小的	https://web.klokah.tw/ninew/sound/11/02/03-C-5-7.mp3
課文	unem anga cavilj nimadju.	六歲了。	https://web.klokah.tw/ninew/sound/11/02/03-B-6.mp3
單字	unem anga	六（歲）了	https://web.klokah.tw/ninew/sound/11/02/03-C-6-1.mp3
單字	cavilj	年，歲	https://web.klokah.tw/ninew/sound/11/02/03-C-6-2.mp3
單字	nimadju	她的	https://web.klokah.tw/ninew/sound/11/02/03-C-6-3.mp3
課文	inuan a su umaq?	你的家在哪裡？	https://web.klokah.tw/ninew/sound/11/02/04-B-1.mp3
單字	inuan	哪裡	https://web.klokah.tw/ninew/sound/11/02/04-C-1-1.mp3
單字	a	[虛]	https://web.klokah.tw/ninew/sound/11/02/04-C-1-2.mp3
單字	su umaq	你的家	https://web.klokah.tw/ninew/sound/11/02/04-C-1-3.mp3
課文	i gadu a ku umaq.	我的家在山上。	https://web.klokah.tw/ninew/sound/11/02/04-B-2.mp3
單字	i	[虛]	https://web.klokah.tw/ninew/sound/11/02/04-C-2-1.mp3
單字	gadu	山	https://web.klokah.tw/ninew/sound/11/02/04-C-2-2.mp3
單字	a	[虛]	https://web.klokah.tw/ninew/sound/11/02/04-C-2-3.mp3
單字	ku umaq	我的家	https://web.klokah.tw/ninew/sound/11/02/04-C-2-4.mp3
課文	i dudut/dungdung tua tatakesian a su umaq?	你的家在學校附近嗎？	https://web.klokah.tw/ninew/sound/11/02/04-B-3.mp3
單字	i	在…	https://web.klokah.tw/ninew/sound/11/02/04-C-3-1.mp3
單字	dudut/dungdung	附近	https://web.klokah.tw/ninew/sound/11/02/04-C-3-2.mp3
單字	tua	[虛]	https://web.klokah.tw/ninew/sound/11/02/04-C-3-3.mp3
單字	tatakesian	學校	https://web.klokah.tw/ninew/sound/11/02/04-C-3-4.mp3
單字	a	[虛]	https://web.klokah.tw/ninew/sound/11/02/04-C-3-5.mp3
單字	su umaq	你（的）家	https://web.klokah.tw/ninew/sound/11/02/04-C-3-6.mp3
課文	ui, i dudut/dungdung tua tatakesian.	是的，在學校附近。	https://web.klokah.tw/ninew/sound/11/02/04-B-4.mp3
